id,order_id,product_id,quantity,customizations,gift_packaging,price,created_at,selected_size,selected_color
02a1fd3f-cd3b-4ac7-ae91-7eb124fa71ee,e1192697-b878-4eca-9ffa-b9a497eb4e56,8ffb3a74-20a7-49ae-b759-3bdabbf2c1ad,1,"[{""answer"":""Hejdj"",""question"":""enter the name of fabric based on the fabric chart"",""answerType"":""text""},{""answer"":""Bdjd f"",""question"":""name of the baby"",""answerType"":""text""},{""question"":""theme description (pastel , boho , etc )"",""answerType"":""text""},{""question"":""any reference image"",""answerType"":""photo""}]",false,500.00,2026-05-14 05:27:38.490176+00,3 Letter,
04092f85-0a59-4f5e-be02-04f6509637a7,64751c84-4af0-40fe-b618-18265abfd065,088dc348-8484-4af7-93f1-861a65775e51,1,"[{""answer"":""uho"",""question"":""Any dietary restrictions?"",""answerType"":""text""},{""answer"":""poj"",""question"":""Message for the card?"",""answerType"":""text""}]",false,98.99,2026-05-18 08:54:00.461967+00,Pack,
264d4407-a750-4bfe-8dd6-88d3d8759806,e75c35fa-3bdf-408a-8fd5-e257e57299a1,54de58db-dec2-42a8-be5e-33c3bc52846d,1,[],false,199.00,2026-05-18 09:29:53.807448+00,,
3c3bac12-e0b9-41fd-92e2-813a839f1c78,264390d7-9921-463c-95fb-3169cd8ee3ee,088dc348-8484-4af7-93f1-861a65775e51,1,"[{""question"":""Any dietary restrictions?"",""answerType"":""text""},{""answer"":""Vedehi"",""question"":""Message for the card?"",""answerType"":""text""}]",false,98.99,2026-05-18 08:27:39.500869+00,Pack,
499851d6-4875-4410-9271-e15f349e2d5a,6e2715e5-f45b-414c-afa1-17770f633e07,54de58db-dec2-42a8-be5e-33c3bc52846d,1,[],false,199.00,2026-05-18 09:24:10.464598+00,,
4d8eb06f-dafd-4807-9714-be973c5da3f5,e22094bf-85be-452e-8875-3c95f09edefe,54de58db-dec2-42a8-be5e-33c3bc52846d,1,[],false,199.00,2026-05-25 13:40:45.361303+00,,
5001195c-b0c4-4775-a220-a60f1b73b005,2bd53be0-0733-494a-9eeb-584bbe89a09c,54de58db-dec2-42a8-be5e-33c3bc52846d,1,[],false,199.00,2026-05-18 09:37:04.354542+00,,
5cba3b06-363a-496b-8b2a-12566116d2e3,49a18ba2-7953-401d-ac13-1395b4730987,088dc348-8484-4af7-93f1-861a65775e51,1,"[{""answer"":""r4t"",""question"":""Any dietary restrictions?"",""answerType"":""text""},{""answer"":""rg"",""question"":""Message for the card?"",""answerType"":""text""}]",false,98.99,2026-05-18 08:47:22.044261+00,Pack,
74a9a81a-249f-4c88-8f89-11860b2d1c03,515e1a07-5a40-4823-9dfc-7a459bd7287b,088dc348-8484-4af7-93f1-861a65775e51,1,"[{""answer"":""rfho"",""question"":""Any dietary restrictions?"",""answerType"":""text""},{""answer"":""o4hf"",""question"":""Message for the card?"",""answerType"":""text""}]",false,98.99,2026-05-18 08:53:29.688065+00,Pack,
74bbe6f8-1097-4b61-aee1-2e21755f415b,f7c873dc-8fd7-453c-ab40-1ba5dc133837,088dc348-8484-4af7-93f1-861a65775e51,1,[],false,98.99,2026-05-02 08:45:00.707389+00,,
75d97190-1adf-4f49-8611-2578d0f644b5,6e1e1c70-4b89-4314-84c9-e95fb2b7bee6,358e510e-3691-492f-99a7-fdd523f70a5c,1,[],false,40.00,2026-06-06 05:31:20.70754+00,,
7cfed821-7399-4a97-85d4-afe5851640c0,947b0c03-0647-4515-89ab-6e777b7674a7,088dc348-8484-4af7-93f1-861a65775e51,1,[],false,98.99,2026-05-03 15:17:31.883001+00,,
86ea0bc9-16d5-450c-a15c-5744a8d1e341,51cc5502-dbb9-452b-aa34-3fd1adbbc9d9,65b4de10-4189-4ec3-b43f-268ba10efd5d,1,"[{""answer"":""no"",""question"":""Any dietary restrictions?""},{""answer"":""vedehi"",""question"":""Message for the card?""}]",false,499.00,2026-05-02 10:13:34.152546+00,small,rose gold
88736d49-0419-4cf8-adb0-62e8751e2ed8,7d956310-a6a8-4ae2-be73-e6b1e49190fa,8ffb3a74-20a7-49ae-b759-3bdabbf2c1ad,1,"[{""answer"":""vrthrhrth"",""question"":""enter the name of fabric based on the fabric chart"",""answerType"":""text""},{""answer"":""tyh4h"",""question"":""name of the baby"",""answerType"":""text""},{""answer"":""htn "",""question"":""theme description (pastel , boho , etc )"",""answerType"":""text""},{""answer"":"""",""question"":""any reference image"",""answerType"":""photo""}]",false,560.00,2026-05-13 17:22:33.370658+00,5 Letter,
9029b7e5-74d0-47b9-80f1-b51199cd9ba2,dbcb3805-a388-4ecd-a3f5-81be0986ce69,54de58db-dec2-42a8-be5e-33c3bc52846d,1,[],false,199.00,2026-05-03 15:18:38.461791+00,,
9f3e2e6c-49b4-48df-b097-b1a9c6c2c9cb,586f4b94-76e6-4944-b2a5-11f851999f57,8ffb3a74-20a7-49ae-b759-3bdabbf2c1ad,1,"[{""answer"":""chiffon"",""question"":""enter the name of fabric based on the fabric chart"",""answerType"":""text""},{""answer"":""vedehi"",""question"":""name of the baby"",""answerType"":""text""},{""answer"":""pastel"",""question"":""theme description (pastel , boho , etc )"",""answerType"":""text""},{""answer"":"""",""question"":""any reference image"",""answerType"":""photo""}]",false,500.00,2026-05-13 16:55:21.283493+00,3 Letter,
af15609f-afb9-45fa-8ec2-8bdf4916aff0,424a9443-8457-4e21-b6b4-8207ce3c7bad,81996351-4b66-40f6-aec5-0a4aecc58a72,1,[],false,3500.00,2026-05-25 13:09:18.823776+00,XL,
ce55694e-8693-4e12-b452-f68d131fb976,747cda81-e79b-4fc5-8474-fd40515e971b,54de58db-dec2-42a8-be5e-33c3bc52846d,1,[],false,199.00,2026-05-01 08:47:07.487762+00,,
d901e908-c7dd-423b-b02b-c30ff5fbc6e6,84b89675-4ecc-49e5-bd48-24015b57e4ad,81996351-4b66-40f6-aec5-0a4aecc58a72,1,[],false,3500.00,2026-05-25 13:18:16.501807+00,XL,
db55b564-19fc-423e-b97d-29c4106ca5d5,77ac56c6-d2fb-45e0-8402-b803e567d5bd,088dc348-8484-4af7-93f1-861a65775e51,1,"[{""answer"":""r43"",""question"":""Any dietary restrictions?"",""answerType"":""text""},{""answer"":""r34"",""question"":""Message for the card?"",""answerType"":""text""}]",false,98.99,2026-05-18 08:48:34.121618+00,Pack,
dc74cc06-cead-4fdb-92a8-5a947d64d35e,fde0259d-2480-4109-829f-c159738f8d76,2d090d65-ee32-48c4-aaa2-e464bca96fef,1,[],false,399.00,2026-06-21 10:54:20.972639+00,,
e0f624de-2fd9-494e-bcf9-26daa57bd494,ab8b4bd3-744b-43fd-9915-18b42d38ceec,088dc348-8484-4af7-93f1-861a65775e51,1,[],false,98.99,2026-05-02 10:19:30.612966+00,,
ea75574a-2eff-4df9-9c85-c2c77d341a58,799d1b20-357b-4e2d-b8a0-95605532dd7e,e5033c2d-25ec-41e3-9881-8b684ffbdded,1,[],false,3699.00,2026-06-01 14:15:39.412832+00,M,
